GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
1269,NY10087-1-01-1269,5,1200,2703,77,13.17,W,10,21,411,2411,W,BR,N,,,31,112,2,5,0,,,
1356,NY11018-08-13-1356,5,1201,2678,77.2,13.22,R,10,20,390,162,R,,,,,28,117,2,6,0,,,
1281,NY10102-1-29-1281,5,1202,2702,78.6,13.21,50W,10,19,371,2377,S,W,N,,,30,107,0,5,0,,,
OH54,OH13-86-26,5,1203,3143,78,12.69,R,10,18,350,2139,R,BR,N,,,27,112,0,1,0,,,
MSU91,MI14W0230,5,1204,2523,81.1,13.03,R,10,17,331,NA,W,,,,,31,91,1,5,0,,,
1054,VA09W-192WS,5,1205,3087,80.7,13,80W,10,16,310,2458,W,W,N,10% BR,,30,107,1,0,0,,,
1287,NY10102-1-78-1287,5,1206,2582,80,12.85,W,10,15,291,2333,W,W,N,,,30,112,1,5,0,,,
OH39,OH13-45-2,5,1207,2509,76.9,12.9,R,10,14,270,2029,R,W,A,,95,29,107,2,5,0,,,
1246,NY03060-1246,5,1208,2617,78.3,12.42,W,10,13,251,2066,W,BR,N,,95,31,122,1,0,0,,,
808,NY02008-808,5,1209,2756,76.8,12.95,W,10,12,230,2461,W,W,N,,,2,102,1,5,0,,,
OH2,OH12-104-72,5,1210,2995,82.2,12.78,R,10,11,211,2398,R,W,N,,,28,107,0,0,0,,,
34,Richland,5,1211,2491,80.7,12.73,W,10,10,190,2283,W,BR,N,,,31,117,0,0,0,,,
1343,NY11030-5-49-1343,5,1212,2819,78.5,13.09,R,10,9,171,148,R,,,,,30,107,2,6,0,,,
OH18,OH12-226-31,5,1213,2453,81.1,12.84,R,10,8,150,2072,R,W,N,,,29,117,0,3,1,,,
OH32,OH12-317-57,5,1214,3049,81.3,13.37,R,10,7,131,2383,R,W,A,,,29,112,0,1,0,,,
1074,NY94052-6090B-1074,5,1215,2766,77.8,12.96,W,10,6,110,2103,W,BR,N,,,31,102,1,2,0,,,
MSU17,MSU Line F2020,5,1216,2937,79,12.58,W,10,5,91,2267,W,W,N,,,29,112,2,2,1,,,
602_check,OH02-12686,5,1217,3148,80.6,13.22,R,10,4,70,checkPlots2015,R,W,N,,,31,107,0,0,0,,,
603,OH02-12678,5,1218,2868,80.3,13.28,R,10,3,51,2211,R,W,N,,,30,112,0,0,0,,,
1298,NY10108-2-77-1298,5,1219,2423,76.4,13.68,50W,10,2,30,2007,S,W,N,,,1,97,0,5,0,,,
