Source,Entry,PLOT,KC,PlotYield,TW,Moisture,YldCorKgH,Lodging,Ht,HD,WH,Other
777,NY06073-29,3187,R,1625,76.6,12.6,4274,0,80,31-May,,
670,8080x7388 - 65,3188,,1278,76.2,12.6,3361,0,95,1-Jun,,
197,96004,3189,,1932,73.9,12.6,5081,0,89,1-Jun,,
681,Whatford/7388 - 197,3190,,1603,78.2,13.3,4186,0,86,30-May,,
406,NY07015-142,3191,,1661,75.9,13.1,4347,1,100,1-Jun,,
82,94052,3192,,1542,75.6,12.9,4043,0,79,2-Jun,,
448,G89201,3193,R,2062,77.2,13.1,5396,0,96,30-May,,
126,96153,3194,,1721,75.4,12.9,4513,0,71,31-May,95,
615,NY05072&75-1,3195,,1687,75.9,13.2,4410,1,100,1-Jun,95,
476,R055,3196,R,2003,76.6,13.3,5231,0,80,31-May,95,
520,99069-179,3197,,1801,73.9,13.3,4703,0,92,2-Jun,95,
7088,NY7088,3198,,1820,74.8,13.1,4763,0,90,1-Jun,,
121,94025,3199,,1428,72.7,12.9,3744,0,76,31-May,95,
646,NY03087&88,3200,,1693,73.6,13.2,4426,0,75,1-Jun,,
761,NY07105-57,3201,,1749,76.2,12.8,4591,0,95,1-Jun,,
561,NY01066-278,3202,,1625,74.3,12.7,4270,0,87,31-May,95,
573,NY99027-317,3203,,1594,75.4,12.9,4180,0,77,2-Jun,,
513,NY03009-159,3204,,1580,74.9,13.1,4135,0,83,4-Jun,,
630,03M1539#019,3205,R,1768,79.6,12.8,4641,0,80,31-May,,
627,XY04-37,3206,R,2012,75.2,12.5,5297,0,80,30-May,,
565,NY99069-289,3207,,1840,75.9,12.8,4830,0,76,1-Jun,,
OH751,OH751,3208,R,2189,76.3,13.5,5705,0,96,31-May,,
495,NY99049-117,3209,,1686,74.1,12.9,4421,0,85,1-Jun,95,
472,SW50,3210,R,1565,75.8,12.7,4112,0,76,2-Jun,,
494,NY01020-116,3211,,1644,76.3,12.8,4315,0,93,30-May,,
690,Whatford/7388 - 125,3212,,1704,78.5,12.8,4473,0,96,2-Jun,,
489,FS_430W,3213,,1849,73.7,12.9,4848,0,100,2-Jun,95,
587,NY03015-360,3214,,1345,73.7,12.6,3538,0,72,3-Jun,,
470,AR98023-5-1,3215,R,1734,73.7,13.3,4529,0,80,31-May,95,
594,NY05161-5-407,3216,,1829,78.6,13.5,4767,0,100,29-May,95,
Cal,Caledonia,3217,,1756,73.9,12.8,4609,0,80,1-Jun,95,
421,MSU_Line_E5038,3218,,1653,76,13.7,4299,0,77,2-Jun,,
567,NY03100-307,3219,,1576,75.5,13.3,4116,0,85,2-Jun,,
694,Whatford/7388 - 184,3220,,1777,77.4,13.7,4622,0,95,31-May,,
512,NY03010-157,3221,,1663,75.9,13.5,4334,0,77,31-May,95,
511,NY03082-156,3222,,1933,75.5,13.4,5043,0,83,1-Jun,,
430,Ajax,3223,,1631,73.2,13.2,4264,1,82,1-Jun,95,
503,NY99055-135,3224,,1862,74.9,13.3,4863,0,93,2-Jun,,
491,NY99028-111,3225,,1573,74.5,13.1,4116,0,87,3-Jun,95,
383,99068,3226,,1467,75.8,12.9,3847,0,83,3-Jun,,
531,NY99048-205,3227,,1372,72.2,13.2,3587,0,88,2-Jun,95,
57,SUPERIOR,3228,,1587,75.1,13.3,4145,0,95,2-Jun,,
Rich,Richland,3229,,1718,76.3,13.1,4496,0,94,1-Jun,,
540,NY00012-226,3230,,1298,75,13.4,3386,0,90,3-Jun,,
7088,NY7088,3231,,1556,74.9,12.8,4084,0,93,1-Jun,,
562,NY99025-281,3232,,1417,72.6,12.9,3716,0,77,1-Jun,90,
532,NY03110-1-2-5-6-212,3233,,1330,76,13.4,3470,0,86,1-Jun,95,
768,07069-1-31,3234,,1264,76.1,13,3311,0,83,1-Jun,95,
522,NY03015-185,3235,,1363,73.5,13,3570,0,71,2-Jun,95,
