GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
MSU36,MI14R0329,4,2175,2897,81.7,13.68,R,8,2,28,2140,R,W,A,,,30,96,1,,,,100,1
1357,NY11019-09-06-1357,4,2176,2648,82.1,13.94,R,8,1,13,164,R,,,,,27,100,2,,,Small awn,100,
264_check,Medina,5,2177,2784,79.4,13.84,W,9,1,12,checkPlots2015,W,W,N,,,31,108,0,,,,,
999,NY09112-10-999,5,2178,2449,78.5,14.15,W,9,2,29,2352,W,BR/W,A,,,1,102,0,,,,100,40
857,NY05158-857,5,2179,2616,82.9,13.24,W,9,3,52,2125,W,BR,N,,,29,86,0,,,Small awn,100,100
1348,NY11017-10-22-1348,5,2180,2619,79.6,13.15,R,9,4,69,153,R,,,,,30,100,2,,,,,
MSU10,MSU Line F2006,5,2181,2445,78.8,12.95,W,9,5,92,2099,W,W,N,,,31,82,1,,,,,
OH74,OH13-163-11,5,2182,2762,79.9,12.6,R,9,6,109,2068,R,W,N,,,28,90,1,,,,,
1262,NY10086-6-03-1262,5,2183,2422,81.3,12.86,W,9,7,132,2422,W,BR,N,,,31,100,1,,,,,100
MSU82,MI14W0118,5,2184,2491,80.4,13.13,W,9,8,149,NA,W,,,,,27,92,2,,,,50,
1352,NY11018-02-19-1352,5,2185,2384,81.6,13.09,R,9,9,172,157,R,,,,,27,94,2,,,,,
OH49,OH13-67-9,5,2186,2946,78.4,12.3,R,9,10,189,2010,R,W/BR,A/N,A\N,,27,100,1,,,,60,
1187,NY01019-1187,5,2187,2688,80.3,12.67,W,9,11,212,2311,W,BR,A,,,31,90,1,,,,100,100
OH12,OH12-185-48,5,2188,2442,79.7,12.78,R,9,12,229,2184,R,W/Br,N,,,27,86,0,,,,,5
MSU3,MSU Line F1026R,5,2189,2561,80.4,12.65,R,9,13,252,2362,R,W,N,,,29,86,2,,,Small awn,50,
878,NY07083-878,5,2190,2678,79.6,13.07,W,9,14,269,2402,W,W,N,,,30,92,1,,,Small awn,100,
1329,NY11019-1-87-1329,5,2191,2621,81.5,13.08,R,9,15,292,129,R,,,,,30,80,1,,,,,
MSU1,MSU Line F0013R,5,2192,2466,82.7,12.93,R,9,16,309,2452,R,W,N,,,30,88,1,,,,,
MSU39,MI14R0364,5,2193,2510,80.6,12.61,R,9,17,332,2371,R,W,N,,,28,93,0,,,,,
1278,NY10102-1-19-1278,5,2194,2419,81.4,12.65,W,9,18,349,2418,W,W,N,,,31,98,1,,,,,
MSU2,MSU Line F1014,5,2195,2595,80,12.75,W,9,19,372,2409,W,W,N,,,30,84,1,,,,,5
716_check,NY01016-AN-716,5,2196,2718,79.8,13.86,W,9,20,389,checkPlots2015,W,W,A,,,30,98,2,,,,100,
602_check,OH02-12686,5,2197,2801,80.7,13.27,R,9,21,412,checkPlots2015,R,W,N,,,31,90,0,,,,,
1296,NY10108-2-64-1296,5,2198,2547,79.7,13.34,50W,9,22,429,2074,S,W,N,,,31,94,1,,,,,
1114,NY09079-6-07-1114,5,2199,2205,80.1,13.24,W,10,22,430,2028,W,BR,N,,,1,100,1,,,yellow red,100,20
603,OH02-12678,5,2200,2701,80.7,13.27,R,10,21,411,2211,R,W,N,,,31,94,0,,,Small awn,100,
OH31,OH12-288-27,5,2201,2293,81,13.18,R,10,20,390,2037,R,W,N,,,31,100,0,,,,,
