Discard,Source,Entry,PLOT,PlotYldmoistcor,PlotYield,adj1,test MV10,adjustment,test MV8,adj,TW,Moisture,Lodging,HD,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,,Harvest,Other
,324,96053,2151,2105,2206,5837,5480,5907,5732,5655,74.7,16.6,0,30,4,3,0,2,5,2.8,3.05,,13-Jul,
D,271,Cal 4PHS-6,2152,2176,2271,6009,5404,6154,5654,5905,74.1,16.2,0,3,5,1,4,1,4,3,3.25,,13-Jul,
D,15,NY 6432-18,2153,2267,2376,6287,5668,6168,5630,6206,74.4,16.6,0,3,5,5,5,2,6,4.6,4.85,,13-Jul,
,394,NY03089,2154,1995,2082,5509,5725,5333,5706,5353,74.8,16.2,0,30,3,5,6,2,7,4.6,4.85,,13-Jul,
,245,99032,2155,1891,1972,5218,5688,5080,5711,5057,71.9,16.1,0,2,4,5,2,2,2,3,3.25,,13-Jul,
,141,94052,2156,1949,2030,5371,5661,5260,5672,5249,73.2,16,0,1,3,4,4,4,1,3.2,3.45,,13-Jul,
,101,94025,2157,2149,2232,5906,5601,5855,5520,5936,75.5,15.7,0,2,4,0,3,2,4,2.6,2.85,,13-Jul,
,Jensen,Jensen,2158,2041,2124,5620,5621,5548,5490,5680,74.3,15.9,0,3,3,3,2,5,6,3.8,4.05,,13-Jul,
,37,Cayuga,2159,1868,1946,5149,5609,5090,5537,5162,75.3,16,0,2,5,4,5,3,1,3.6,3.85,,13-Jul,
,146,96153,2160,2053,2145,5676,5537,5688,5580,5645,74,16.3,0,30,3,5,3,4,2,3.4,3.65,,13-Jul,
,325,96066,2161,1921,2014,5329,5619,5260,5700,5179,74.1,16.6,0,2,3,1,0,1,0,1,1.25,,13-Jul,
,217,99048,2162,2075,2177,5760,5591,5719,5579,5731,73.9,16.7,0,4,1,7,5,6,3,4.4,4.65,,13-Jul,
,100,93237SP,2163,1954,2046,5414,5730,5233,5722,5241,73.4,16.5,0,2,1,1,5,0,1,1.6,1.85,,13-Jul,
,274,NY03180FHB-10,2164,2195,2303,6094,5125,6518,5060,6583,72.3,16.7,0,2,2,5,5,5,2,3.8,4.05,,13-Jul,
,Richland,Richland,2165,2166,2261,5983,5135,6397,5066,6466,74.6,16.2,0,2,1,5,1,3,4,2.8,3.05,,13-Jul,
,290,Ava,2166,1933,2028,5366,5107,5809,5008,5908,72.3,16.7,0,2,5,5,2,1,2,3,3.25,,13-Jul,
,Cal Res L,Cal Res L,2167,2323,2427,6422,4966,7006,4821,7150,69.9,16.3,0,29,4,2,1,1,5,2.6,2.85,,13-Jul,
,277,NYW103-21-9183,2168,193,202,534,5596,488,5598,486,77.8,16.3,0,1,1,2,0,1,0,0.8,1.05,,13-Jul,
,296,88044,2169,2020,2120,5610,5094,6066,4929,6231,74.5,16.7,0,1,2,3,4,1,1,2.2,2.45,,13-Jul,mouse
